+--------+---------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Locale | Key                                               | Value in other locales or source                                                                                                                                                                                           |
| pt_BR  | actions.registered.m                              | en registered                                                                                                                                                                                                              |
| pt_BR  | actions.registered_so_far.f                       | en registered so far                                                                                                                                                                                                       |
| pt_BR  | actions.registered_so_far.m                       | en registered so far                                                                                                                                                                                                       |
| pt_BR  | actions.removed.f                                 | en removed                                                                                                                                                                                                                 |
| pt_BR  | actions.removed.m                                 | en removed                                                                                                                                                                                                                 |
| pt_BR  | actions.situation                                 | en Situation                                                                                                                                                                                                               |
| pt_BR  | actions.succesfully                               | en succesfully.                                                                                                                                                                                                            |
| pt_BR  | actions.suspended.f                               | en Suspended                                                                                                                                                                                                               |
| pt_BR  | actions.suspended.m                               | en Suspended                                                                                                                                                                                                               |
| pt_BR  | actions.teaching_area                             | en Teaching area                                                                                                                                                                                                           |
| pt_BR  | actions.unchanged.f                               | en unchanged                                                                                                                                                                                                               |
| pt_BR  | actions.unchanged.m                               | en unchanged                                                                                                                                                                                                               |
| pt_BR  | actions.updated.f                                 | en updated                                                                                                                                                                                                                 |
| pt_BR  | actions.updated.m                                 | en updated                                                                                                                                                                                                                 |
+--------+---------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
