+--------+------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Locale | Key                                                                          | Value                                                                                                                                                                                                                                                                                                                                                            |
|   en   | errors.messages.less_than                                                    | must be less than %{count}                                                                                                                                                                                                                                                                                                                                       |
|   en   | errors.messages.less_than_or_equal_to                                        | must be less than or equal to %{count}                                                                                                                                                                                                                                                                                                                           |
|   en   | errors.messages.not_a_number                                                 | is not a number                                                                                                                                                                                                                                                                                                                                                  |
|   en   | errors.messages.not_an_integer                                               | must be an integer                                                                                                                                                                                                                                                                                                                                               |
|   en   | errors.messages.not_found                                                    | not found                                                                                                                                                                                                                                                                                                                                                        |
|   en   | errors.messages.not_locked                                                   | was not locked                                                                                                                                                                                                                                                                                                                                                   |
|   en   | errors.messages.not_saved.one                                                | 1 error prohibited this %{resource} from being saved:                                                                                                                                                                                                                                                                                                            |
|   en   | errors.messages.not_saved.other                                              | %{count} errors prohibited this %{resource} from being saved:                                                                                                                                                                                                                                                                                                    |
|   en   | errors.messages.odd                                                          | must be an odd number                                                                                                                                                                                                                                                                                                                                            |
|   en   | errors.messages.record_invalid                                               | The validation failed: %{errors}                                                                                                                                                                                                                                                                                                                                 |
|   en   | errors.messages.taken                                                        | is not available (since this data is already in the system)                                                                                                                                                                                                                                                                                                      |
|   en   | errors.messages.too_long                                                     | is too long (there is a %{count} character limit)                                                                                                                                                                                                                                                                                                                |
|   en   | errors.messages.too_short                                                    | is too short (there must be %{count} characters at least)                                                                                                                                                                                                                                                                                                        |
|   en   | errors.messages.wrong_length                                                 | wrong length (it must be %{count} characters long)                                                                                                                                                                                                                                                                                                               |
|   en   | errors.template.body                                                         | Please check the following fields:                                                                                                                                                                                                                                                                                                                               |
|   en   | errors.template.header.one                                                   | Unable to save %{model} due to an error:                                                                                                                                                                                                                                                                                                                         |
|   en   | errors.template.header.other                                                 | Unable to save %{model}: due to %{count} errors                                                                                                                                                                                                                                                                                                                  |
|   en   | find                                                                         | find                                                                                                                                                                                                                                                                                                                                                             |
|   en   | hello                                                                        | Hello world                                                                                                                                                                                                                                                                                                                                                      |
|   en   | helpers.select.prompt                                                        | Please select                                                                                                                                                                                                                                                                                                                                                    |
|   en   | helpers.submit.create                                                        | Create %{model}                                                                                                                                                                                                                                                                                                                                                  |
